date,postal_code,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-04-10,39051,11.3129,46.4086,0,0,0,0,0,1
2020-04-10,32026,12.0767,46.0531,2,0,0,0,0,0
2020-04-10,32036,12.1076,46.1226,2,0,0,0,0,1
2020-04-10,38038,11.5095,46.2918,0,0,0,0,0,1
2020-04-10,36078,11.2822,45.64,30,1,0,0,0,5
2020-04-10,31017,11.8456,45.8283,1,0,0,0,0,0
2020-04-10,25045,10.1145,45.5613,1,0,0,0,0,0
2020-04-10,25030,10.0036,45.4958,5,0,0,0,0,0
2020-04-10,25020,10.1508,45.3548,2,0,0,0,0,0
2020-04-10,25126,10.2147,45.5356,1,0,0,0,0,0
2020-04-10,38100,11.1126,46.0788,3,0,0,0,0,0
2020-04-10,36066,11.5892,45.6608,3,0,0,0,0,0
2020-04-10,20151,9.158,45.4846,0,0,0,0,0,1
2020-04-10,36070,11.3139,45.596,11,0,0,0,0,1
2020-04-10,25125,10.2147,45.5356,1,0,0,0,0,0
2020-04-10,36100,11.4957,45.6584,4,0,0,0,0,0
2020-04-10,00124,12.4292,41.8202,0,0,0,0,0,1
2020-04-10,36073,11.3307,45.584,5,0,0,0,0,3
2020-04-10,25010,10.4788,45.4702,2,0,0,0,0,0
2020-04-10,90144,13.3356,38.1321,1,0,0,0,0,0
2020-04-10,10040,7.5372,45.0688,1,0,0,0,0,0
2020-04-10,36076,11.2222,45.7037,6,0,0,0,0,0
2020-04-10,36071,11.3417,45.5358,0,0,0,0,0,1
2020-04-10,36075,11.409,45.5126,2,0,0,0,0,0
2020-04-10,37030,11.1799,45.4914,1,0,0,0,0,0
2020-04-10,00168,12.5113,41.8919,0,1,0,0,0,0
2020-04-10,36061,11.7098,45.7866,10,0,0,0,0,0
2020-04-10,00166,12.5113,41.8919,0,0,0,0,0,1
2020-04-10,36055,11.6783,45.7216,1,0,0,0,0,0
2020-04-10,73042,18.1624,40.0113,1,0,0,0,0,0
2020-04-10,38121,11.1211,46.0679,10,1,0,0,0,1
2020-04-10,24034,9.4715,45.742,1,0,0,0,0,0
2020-04-10,38066,10.8415,45.8973,2,0,0,0,0,0
2020-04-10,38122,11.1211,46.0679,9,0,0,0,0,1
2020-04-10,38060,10.9657,45.8822,5,0,0,0,0,0
2020-04-10,38123,11.1211,46.0679,14,0,0,0,0,0
2020-04-10,31100,12.2145,45.6518,1,0,0,0,0,0
2020-04-10,38096,10.9863,46.0735,1,0,0,0,0,0
2020-04-10,38016,11.1225,46.2116,1,0,0,0,0,0
2020-04-10,38050,11.5117,46.0905,41,0,0,0,0,5
2020-04-10,31030,12.1377,45.7442,2,0,0,0,0,0
2020-04-10,28060,8.511,45.4592,1,0,0,0,0,0
2020-04-10,39055,11.3418,46.4458,1,0,0,0,0,0
2020-04-10,46100,10.8287,45.1497,2,0,0,0,0,0
2020-04-10,39100,11.3398,46.4907,3,0,0,0,0,1
2020-04-10,36015,11.3555,45.7212,21,0,0,0,0,0
2020-04-10,33080,12.6532,46.0388,0,0,0,0,0,1
2020-04-10,38057,11.2394,46.0658,4,0,0,0,0,0
2020-04-10,45021,11.4908,45.0978,1,0,0,0,0,0
2020-04-10,31046,12.4924,45.7652,1,0,0,0,0,0
2020-04-10,32020,11.9894,46.2833,2,0,0,0,0,0
2020-04-10,90146,13.3356,38.1321,1,0,0,0,0,0
2020-04-10,36030,11.4489,45.6924,11,0,0,0,0,0
2020-04-10,36065,11.7018,45.7028,1,0,0,0,0,0
2020-04-10,36033,11.4528,45.6225,1,0,0,0,0,0
2020-04-10,38059,11.5233,46.0641,4,0,0,0,0,0
2020-04-10,38063,10.9484,45.7377,1,0,0,0,0,0
2020-04-10,32016,12.3556,46.1045,1,0,0,0,0,0
2020-04-10,20159,9.1895,45.4643,1,0,0,0,0,0
2020-04-10,38015,11.1087,46.1524,1,0,0,0,0,1
2020-04-10,36034,11.4533,45.6665,1,0,0,0,0,0
2020-04-10,33100,13.2569,46.0664,1,0,0,0,0,0
2020-04-10,38068,11.0358,45.8731,8,0,0,0,0,0
2020-04-10,38017,11.0964,46.2077,1,0,0,0,0,0
2020-04-10,38011,11.1382,46.406,2,0,0,0,0,0
2020-04-10,32027,12.0131,46.2984,1,0,0,0,0,0
2020-04-10,38077,10.8772,46.0228,0,0,0,0,0,1
2020-04-10,32014,12.3008,46.1744,2,0,0,0,0,0
2020-04-10,00148,12.5113,41.8919,2,0,0,0,0,0
2020-04-10,00199,12.5113,41.8919,1,0,0,0,0,0
2020-04-10,00141,12.5113,41.8919,1,0,0,0,0,0
2020-04-10,38046,11.232,45.977,1,0,0,0,0,0
2020-04-10,46047,10.7578,45.194,1,0,0,0,0,0
2020-04-10,00164,12.5113,41.8919,2,0,0,0,0,0
2020-04-10,38012,11.0863,46.3228,2,0,0,0,0,0
2020-04-10,46044,10.636,45.2557,2,0,0,0,0,0
2020-04-10,74020,17.4422,40.4166,1,0,0,0,0,0
2020-04-10,38052,11.2643,45.9937,29,0,0,0,0,1
2020-04-10,40126,11.3387,44.4938,1,0,0,0,0,0
2020-04-10,37011,10.7381,45.5284,0,0,0,0,0,1
2020-04-10,47121,12.0414,44.2218,1,0,0,0,0,0
2020-04-10,38019,11.0387,46.3287,3,0,0,0,0,0
2020-04-10,31022,12.233,45.6107,0,0,0,0,0,1
2020-04-10,36036,11.3187,45.7158,1,0,0,0,0,0
2020-04-10,36016,11.4701,45.7096,1,0,0,0,0,0
2020-04-10,43022,10.3934,44.7107,1,0,0,0,0,0
2020-04-10,38010,11.088,46.2876,2,0,0,0,0,0
2020-04-10,30027,12.5939,45.6276,1,0,0,0,0,0
2020-04-10,38064,11.1853,45.9175,1,0,0,0,0,0
2020-04-10,25015,10.5356,45.4713,2,0,0,0,0,0
2020-04-10,46042,10.473,45.294,1,0,0,0,0,0
2020-04-10,32100,12.2059,46.1386,5,0,0,0,0,0
2020-04-10,36035,11.4324,45.696,3,0,0,0,0,0
2020-04-10,20010,8.918,45.5086,1,0,0,0,0,0
2020-04-10,31033,11.9263,45.6681,4,0,0,0,0,0
2020-04-10,31037,11.8555,45.7235,2,0,0,0,0,0
2020-04-10,20146,9.1895,45.4643,1,0,0,0,0,0
2020-04-10,38080,10.6862,46.0256,2,0,0,0,0,0
2020-04-10,38056,11.3214,46.0081,6,0,0,0,0,1
2020-04-10,39042,11.573,46.6767,0,0,0,0,0,1
2020-04-10,30030,12.0716,45.4519,1,0,0,0,0,0
2020-04-10,30033,12.0751,45.5597,1,0,0,0,0,0
2020-04-10,35010,11.8762,45.5293,3,0,0,0,0,0
2020-04-10,31044,12.0494,45.7818,1,0,0,0,0,0
2020-04-10,31010,12.1936,45.8625,3,0,0,0,0,0
2020-04-10,36064,11.6166,45.7184,1,0,0,0,0,0
2020-04-10,38045,11.1911,46.091,2,0,0,0,0,0
2020-04-10,30020,12.6148,45.6764,0,0,0,0,0,1
2020-04-10,31011,11.9019,45.7898,1,0,0,0,0,0
2020-04-10,25054,10.0958,45.7372,1,0,0,0,0,0
2020-04-10,31023,11.971,45.6401,1,0,0,0,0,0
2020-04-10,31020,12.234,45.884,2,0,0,0,0,0
2020-04-10,41038,11.1591,44.8419,1,0,0,0,0,0
2020-04-10,36050,11.5698,45.5891,1,0,0,0,0,0
2020-04-10,27036,8.733,45.2494,1,0,0,0,0,1
2020-04-10,36072,11.2829,45.5475,1,0,0,0,0,0
2020-04-10,37125,10.9844,45.4299,1,0,0,0,0,0
2020-04-10,37010,10.7635,45.5885,1,0,0,0,0,0
2020-04-10,31050,12.1311,45.727,0,1,0,0,0,0
2020-04-10,38089,10.555,45.8402,2,0,0,0,0,0
2020-04-10,38036,11.6912,46.4367,1,0,0,0,0,0
2020-04-10,37128,10.9844,45.4299,1,0,0,0,0,0
2020-04-10,25075,10.2795,45.5848,1,0,0,0,0,0
2020-04-10,36031,11.5513,45.6356,1,0,0,0,0,0
